?Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gas�leo A,Precio gas�leo Premium,Precio gas�leo B,Precio gas�leo C,Precio bioetanol,Precio biodi�sel,Precio gases licuados del petr�leo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidr�geno,R�tulo,Tipo venta,Rem.,Horario,Tipo servicio,,,,,,
ALBACETE,FUENTEALBILLA,FUENTEALBILLA,2260,N-322 (CORDOBA-VALENCIA) km 399,I,-1.548639,39.269972,2025-04-28 11:09:00,1419,,,,,1329,,969,,,,,,,,ES SAN ANTONIOABAD. FUENTEALBILLA,P,dm,L-D: 07:00-20:00,L-D: 07:00-20:00 (A),,,,,,
ALBACETE,GINETA (LA),GINETA (LA),2110,"CR A-31, 235",I,-1.963944,39.086278,2025-05-01 14:00:00,1509,,1569,1659,,1439,,,,,,,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,GINETA (LA),GINETA (LA),2110,"CR N-301, 231,8",D,-1.990194,39.107667,2025-05-01 00:00:00,1489,,,1599,,1419,1479,,,,,,,,,REPSOL,P,OM,L-D: 07:00-21:00,L-D: 07:00-21:00 (A),,,,,,
ALBACETE,GOLOSALVO,GOLOSALVO,2253,CARRETERA NACIONAL 322 KM. 390,D,-1.635111,39.238111,2025-04-30 10:11:00,1514,,,1668,,1444,1535,,,,,,,,,CEPSA,P,dm,L: 06:00-22:00,L: 06:00-22:00 (A),,,,,,
ALBACETE,HELLÍN,HELLIN,2400,CARRETERA TORREUCHEA KM. 1,D,-1.636389,38.495972,2025-04-29 20:31:00,1669,,,1759,,1599,1699,,,,,1029,,,,HELLIN GAS S.L.,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,HELLÍN,HELLIN,2400,"AUTOVIA A-30 KM. 322,5",D,-1.596722,38.46425,2025-04-28 10:46:00,1549,,,1679,,1459,1529,,,,,,,,,GALP,P,dm,L-D: 06:00-22:00,Sin datos,,,,,,
ALBACETE,HELLÍN,HELLIN,2400,"MELCHOR  DE MACANAZ, 66",N,-1.696972,38.511222,2025-04-28 11:48:00,1499,,,1609,,1429,1529,,,,,,,,,BP,P,dm,L: 06:00-23:00,L: 06:00-23:00 (A),,,,,,
ALBACETE,HELLÍN,HELLIN,2400,CARRETERA N 301-A KM. S/N,D,-1.677694,38.502528,2025-04-27 13:00:00,1399,,,,,1349,,,,,,,,,,MULTSER-OIL,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,HELLÍN,HELLIN,2400,"AVENIDA LIBERTAD, 111",D,-1.700417,38.517306,2025-04-30 10:40:00,1399,,,,,1329,,,,,,,,,,PLENERGY,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,HELLÍN,HELLIN,2400,CARRETERA CM 412 KM. 273,D,-1.694889,38.532389,2025-05-01 12:45:00,1389,,,,,1319,,,,,,,,,,PETROGAS,P,dm,L-D: 06:30-22:00,L-D: 06:30-22:00 (A),,,,,,
